assignment_id,code_version,n_reference,n_selected,is_ranked,response_time_s
33,birds-1,8,2,1,9.159
33,birds-1,8,2,1,5.773
33,birds-1,8,2,1,4.219
33,birds-1,8,2,1,7.457
33,birds-1,8,2,1,6.36
33,birds-1,8,2,1,5.908
33,birds-1,8,2,1,8.855
33,birds-1,8,2,1,13.171
33,birds-1,8,2,1,10.929
33,birds-1,8,2,1,11.643
33,birds-1,8,2,1,7.701
33,birds-1,8,2,1,4.974
33,birds-1,8,2,1,10.86
34,birds-1,8,2,1,8.278
34,birds-1,8,2,1,5.467
34,birds-1,8,2,1,6.635
34,birds-1,8,2,1,3.918
34,birds-1,8,2,1,4.424
34,birds-1,8,2,1,3.562
34,birds-1,8,2,1,7.768
34,birds-1,8,2,1,5.443
34,birds-1,8,2,1,4.103
34,birds-1,8,2,1,3.899
34,birds-1,8,2,1,5.239
34,birds-1,8,2,1,4.093
34,birds-1,8,2,1,2.896
34,birds-1,8,2,1,4.064
34,birds-1,8,2,1,3.506
34,birds-1,8,2,1,3.462
34,birds-1,8,2,1,3.246
34,birds-1,8,2,1,2.731
35,birds-1,8,2,1,29.701
35,birds-1,8,2,1,6.742
35,birds-1,8,2,1,5.07
35,birds-1,8,2,1,5.335
35,birds-1,8,2,1,11.541
35,birds-1,8,2,1,12.578
35,birds-1,8,2,1,10.308
35,birds-1,8,2,1,6.997
35,birds-1,8,2,1,11.805
35,birds-1,8,2,1,5.621
35,birds-1,8,2,1,6.308
35,birds-1,8,2,1,9.198
35,birds-1,8,2,1,18.46
35,birds-1,8,2,1,15.571
35,birds-1,8,2,1,6.99
35,birds-1,8,2,1,9.278
35,birds-1,8,2,1,8.078
35,birds-1,8,2,1,6.325
35,birds-1,8,2,1,5.415
35,birds-1,8,2,1,4.326
35,birds-1,8,2,1,7.165
35,birds-1,8,2,1,15.61
35,birds-1,8,2,1,5.1
35,birds-1,8,2,1,6.673
35,birds-1,8,2,1,8.821
35,birds-1,8,2,1,8.479
36,birds-1,8,2,1,32.595
36,birds-1,8,2,1,6.647
36,birds-1,8,2,1,7.56
36,birds-1,8,2,1,6.323
36,birds-1,8,2,1,5.813
36,birds-1,8,2,1,6.342
36,birds-1,8,2,1,6.692
36,birds-1,8,2,1,8.972
36,birds-1,8,2,1,9.228
36,birds-1,8,2,1,9.935
36,birds-1,8,2,1,4.936
36,birds-1,8,2,1,2.919
36,birds-1,8,2,1,3.243
36,birds-1,8,2,1,4.324
36,birds-1,8,2,1,8.31
36,birds-1,8,2,1,3.079
36,birds-1,8,2,1,4.165
36,birds-1,8,2,1,4.39
36,birds-1,8,2,1,8.069
36,birds-1,8,2,1,5.728
36,birds-1,8,2,1,3.275
36,birds-1,8,2,1,8.403
36,birds-1,8,2,1,6.305
36,birds-1,8,2,1,5.887
36,birds-1,8,2,1,7.242
36,birds-1,8,2,1,6.837
36,birds-1,8,2,1,6.039
37,birds-1,8,2,1,44.712
37,birds-1,8,2,1,20.92
37,birds-1,8,2,1,5.581
37,birds-1,8,2,1,4.837
37,birds-1,8,2,1,20.638
37,birds-1,8,2,1,9.338
37,birds-1,8,2,1,8.165
37,birds-1,8,2,1,18.414
37,birds-1,8,2,1,7.79
37,birds-1,8,2,1,6.52
37,birds-1,8,2,1,12.048
37,birds-1,8,2,1,13.124
37,birds-1,8,2,1,4.678
37,birds-1,8,2,1,10.961
37,birds-1,8,2,1,11.205
37,birds-1,8,2,1,3.759
37,birds-1,8,2,1,17.727
37,birds-1,8,2,1,15.858
37,birds-1,8,2,1,7.107
37,birds-1,8,2,1,8.643
37,birds-1,8,2,1,6.449
37,birds-1,8,2,1,4.143
37,birds-1,8,2,1,8.066
37,birds-1,8,2,1,5.307
37,birds-1,8,2,1,7.313
109,birds-1,8,2,1,43.713
109,birds-1,8,2,1,5.821
109,birds-1,8,2,1,8.686
109,birds-1,8,2,1,7.822
109,birds-1,8,2,1,5.25
109,birds-1,8,2,1,9.813
109,birds-1,8,2,1,7.664
109,birds-1,8,2,1,9.3
109,birds-1,8,2,1,6.151
109,birds-1,8,2,1,7.932
109,birds-1,8,2,1,5.964
109,birds-1,8,2,1,8.011
109,birds-1,8,2,1,4.45
109,birds-1,8,2,1,6.349
109,birds-1,8,2,1,5.518
109,birds-1,8,2,1,7.308
109,birds-1,8,2,1,7.435
109,birds-1,8,2,1,6.193
109,birds-1,8,2,1,15.918
109,birds-1,8,2,1,5.825
109,birds-1,8,2,1,6.159
109,birds-1,8,2,1,7.621
109,birds-1,8,2,1,11.844
109,birds-1,8,2,1,3.97
109,birds-1,8,2,1,5.141
109,birds-1,8,2,1,4.978
109,birds-1,8,2,1,8.303
110,birds-1,8,2,1,41.764
110,birds-1,8,2,1,41.018
110,birds-1,8,2,1,25.121
110,birds-1,8,2,1,18.869
110,birds-1,8,2,1,21.093
110,birds-1,8,2,1,23.22
110,birds-1,8,2,1,9.294
110,birds-1,8,2,1,102.844
110,birds-1,8,2,1,15.702
110,birds-1,8,2,1,10.479
110,birds-1,8,2,1,7.528
110,birds-1,8,2,1,6.866
110,birds-1,8,2,1,14.945
110,birds-1,8,2,1,13.768
110,birds-1,8,2,1,8.687
110,birds-1,8,2,1,11.312
110,birds-1,8,2,1,6.149
110,birds-1,8,2,1,14.658
110,birds-1,8,2,1,11.312
110,birds-1,8,2,1,4.496
110,birds-1,8,2,1,11.956
110,birds-1,8,2,1,6.437
110,birds-1,8,2,1,17.552
110,birds-1,8,2,1,7.909
110,birds-1,8,2,1,7.689
110,birds-1,8,2,1,13.161
110,birds-1,8,2,1,7.346
112,birds-1,8,2,1,47.701
112,birds-1,8,2,1,3.299
112,birds-1,8,2,1,7.948
112,birds-1,8,2,1,10.835
112,birds-1,8,2,1,5.392
112,birds-1,8,2,1,4.147
112,birds-1,8,2,1,8.47
112,birds-1,8,2,1,3.083
112,birds-1,8,2,1,4.725
112,birds-1,8,2,1,7.263
112,birds-1,8,2,1,6.979
112,birds-1,8,2,1,2.776
112,birds-1,8,2,1,4.897
112,birds-1,8,2,1,6.296
112,birds-1,8,2,1,3.519
112,birds-1,8,2,1,4.213
112,birds-1,8,2,1,9.096
112,birds-1,8,2,1,6.334
112,birds-1,8,2,1,13.819
112,birds-1,8,2,1,3.467
112,birds-1,8,2,1,7.039
112,birds-1,8,2,1,6.513
112,birds-1,8,2,1,4.068
112,birds-1,8,2,1,7.827
112,birds-1,8,2,1,4.328
112,birds-1,8,2,1,4.629
112,birds-1,8,2,1,4.717
115,birds-1,8,2,1,24.629
115,birds-1,8,2,1,9.732
115,birds-1,8,2,1,15.997
115,birds-1,8,2,1,6.719
115,birds-1,8,2,1,16.402
115,birds-1,8,2,1,11.287
115,birds-1,8,2,1,13.715
115,birds-1,8,2,1,18.828
115,birds-1,8,2,1,12.143
115,birds-1,8,2,1,15.343
115,birds-1,8,2,1,14.649
115,birds-1,8,2,1,6.181
115,birds-1,8,2,1,10.878
115,birds-1,8,2,1,22.096
115,birds-1,8,2,1,12.66
115,birds-1,8,2,1,12.01
115,birds-1,8,2,1,8.991
115,birds-1,8,2,1,16.007
115,birds-1,8,2,1,22.817
115,birds-1,8,2,1,10.199
